Start Time,Start Time,End Time,Weather
2016-08-02,2016-08-02 06:00:00,2016-08-02 10:00:00,09Severe Tropical Storm
2016-09-15,2016-09-15 08:00:00,2016-09-15 10:00:00,09Severe Tropical Storm
2016-09-28,2016-09-28 09:00:00,2016-09-28 11:00:00,09Severe Tropical Storm
2016-10-07,2016-10-07 14:00:00,2016-10-09 21:00:00,09Severe Tropical Storm
2017-08-23,2017-08-23 17:00:00,2017-08-23 21:00:00,09Severe Tropical Storm
2017-09-02,2017-09-02 14:00:00,2017-09-03 19:00:00,09Severe Tropical Storm
2017-10-16,2017-10-16 00:00:00,2017-10-16 06:00:00,09Severe Tropical Storm
2018-08-14,2018-08-14 14:00:00,2018-08-15 21:00:00,09Severe Tropical Storm
2018-09-13,2018-09-13 04:00:00,2018-09-13 09:00:00,09Severe Tropical Storm
2018-09-16,2018-09-16 13:30:00,2018-09-16 14:15:00,09Severe Tropical Storm
2018-09-17,2018-09-17 03:00:00,2018-09-17 06:00:00,09Severe Tropical Storm
2018-11-01,2018-11-01 08:00:00,2018-11-02 02:00:00,09Severe Tropical Storm
2019-08-25,2019-08-25 01:00:00,2019-08-25 08:00:00,09Severe Tropical Storm
2021-07-19,2021-07-19 17:00:00,2021-07-19 23:00:00,09Severe Tropical Storm
2021-07-21,2021-07-21 00:00:00,2021-07-21 06:00:00,09Severe Tropical Storm
2021-10-12,2021-10-12 23:00:00,2021-10-13 04:00:00,09Severe Tropical Storm
2022-07-01,2022-07-01 10:00:00,2022-07-02 07:00:00,09Severe Tropical Storm
2022-07-02,2022-07-02 17:00:00,2022-07-02 23:00:00,09Severe Tropical Storm
2022-08-24,2022-08-24 14:00:00,2022-08-24 17:00:00,09Severe Tropical Storm
2022-08-25,2022-08-25 11:00:00,2022-08-25 20:00:00,09Severe Tropical Storm
2022-11-01,2022-11-01 23:00:00,2022-11-02 14:00:00,09Severe Tropical Storm
